zpid,street_address,zipcode,description,latitude,longitude,garage_spaces,has_association,has_garage,has_spa,has_view,home_type,year_built,latest_price,latest_saledate,latest_salemonth,latest_saleyear,num_of_photos,num_of_appliances,num_of_parking_features,num_of_patio_and_porch_features,num_of_security_features,num_of_waterfront_features,num_of_window_features,num_of_community_features,lot_size_sq_ft,living_area_sq_ft,avg_school_distance,avg_school_rating,avg_school_size,_median_students_per_teacher,num_of_bathrooms,num_of_bedrooms,num_of_stories,age
116080992,10505 Cannon Mark Way,78717,"*PLEASE SEE THE WALKTHROUGH VIRTUAL TOUR*This 2015 Built DREES Home has Everything You Would Want with 5 Bedrooms that all have their own Bathroom and Walk-In Closet, 5.5 Bathrooms, Media Room, Game Room, Office, Frameless Shower, Wood Floors, Granite Counter Tops, 3 Car Garage with Epoxy Flooring, Quarter Acre Lot with Tall Shade Trees for the Kids to Play, or add a Pool, East Facing Covered Patio to Keep You Shaded in the Evening, Water Softener, Touch Screen Alarm System, Upgraded Lighting, Custom Paint & Walk-In Attic Designed for Storage.",30.486408233642567,-97.7947235107422,0,TRUE,FALSE,FALSE,FALSE,Single Family,2014,687850,2018-08-28,8,2018,40,4,2,0,0,0,0,0,10672,4564,3.266666666666667,7.666666666666668,1259,14,6,5,2,4
88013985,15524 Staked Plains Loop,78717,"Rare opportunity in this high demand area of Avery Ranch! 5 Bedrooms, 4 Full Baths all on a coveted corner lot. Desirable layout includes 2 living areas, formal dining, large kitchen open to the living room, stainless appliance package, game room and additional bedroom upstairs! The hidden gem is the second living area that is well placed between two of the bedrooms, perfect for multigenerational families. Covered back patio and several varieties of mature fruit tress! Come and see it.",30.49437522888184,-97.79651641845705,2,TRUE,TRUE,FALSE,TRUE,Single Family,2007,409000,2018-12-03,12,2018,31,6,3,0,0,0,0,0,9060,3233,1.9333333333333331,8.333333333333334,1481,16,4,5,2,11
70344594,15217 Sabal Palm Rd,78724,Charming Home boasting 3 bedrooms and 2 baths. This home sits on a sizable corner lot and is almost ready for move in.,30.25570678710937,-97.57695770263672,2,FALSE,TRUE,FALSE,FALSE,Single Family,2006,199000,2020-12-22,12,2020,21,2,2,1,0,0,0,0,7448,1511,2.4333333333333336,2.6666666666666665,1478,13,2,3,1,14
185217484,14004 Chisos Trl,78717,"COVETED, SPACIOUS 3 bed + OFFICE, 1story MIL Plan w/HUGE guest room on other side of home adjacent to full bath & 3rd bedroom that can be another living space or adult bedroom! GORGEOUS open plan features formal DR, GREAT ROOM w/fireplace overlooks the PERFECT SIZE backyard & TRIPLE LENGTH, XTRA DEEP COVERED PATIO. Spacious kitchen w/ Xtra-long serving bar, granite, stainless appliances, walk-in pantry & breakfast nook w/bay window. Office features wood floors & 11' ceiling! Walking distance to Trailhead!",30.49563789367676,-97.7978744506836,0,TRUE,FALSE,FALSE,FALSE,Single Family,2008,400000,2020-01-10,1,2020,20,3,2,0,0,0,0,0,7666,2228,1.9,8.333333333333334,1481,16,2,3,1,12
116080981,14405 Laurinburg Dr,78717,"Popular Bingham Floor plan in sought after Northwoods Community.  Over 75+k in Upgrades! Home features gorgeous open floor plan with Huge Living Space, 4 bedrooms plus study downstairs and a Game Room with Full bath upstairs. Wood floors in the living, kitchen and dining space, Plantation Shutters throughout, covered Patio and More!. Within min to Lakeline Station, HEB, Sams and Lakeline Mall. Easy Access to 183, Mopac, Parmer and Toll!",30.4887752532959,-97.7948989868164,2,TRUE,TRUE,FALSE,FALSE,Single Family,2013,549900,2018-03-13,3,2018,69,4,3,0,0,0,0,0,8494,3494,3.2999999999999994,7.666666666666668,1259,14,5,4,2,5
29462564,14702 Menifee St,78725,"Fridge, washer, dryer, wall tv mounts do not convey",30.233154296875,-97.58731842041016,2,FALSE,TRUE,FALSE,FALSE,Single Family,1999,240000,2020-12-31,12,2020,10,4,2,2,0,0,0,0,5183,1534,1.8,3,1457,13,3,3,1,21
70355992,15303 Lucian St,78725,"15303 Lucian St, Austin, TX 78725 is a single family home that contains 1,738 sq ft and was built in 2013. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $284,728. The Rent Zestimate for this home is $1,650/mo.",30.23806571960449,-97.57801818847656,2,TRUE,TRUE,FALSE,FALSE,Single Family,2013,249900,2020-12-04,12,2020,35,3,2,1,1,0,0,0,7405,1738,1.9666666666666668,3,1457,13,2,3,1,7
89659978,14224 Canyon Trl,78717,"Avery Ranch 3 car garage 5 bedrooms w/3 full baths plus an office! Upgraded carpet & wood floors including stairs~guest room down w/access to full bath~wraparound back covered patio & a yard big enough for pool &entertaining~gameroom up with 3 guest beds and guest bath with 2 sinks~nice sized master bedroom with a very nicely laid out master closet~upgraded lighting throughout~access to pools, parks & brushy creek trail system~highly rated Leander ISD~Lakeline Lightrail station is less than 2 miles away",30.492189407348643,-97.79308319091795,3,TRUE,TRUE,FALSE,FALSE,Single Family,2010,400000,2020-04-22,4,2020,21,3,3,2,1,0,1,0,12196.8,2630,2.0333333333333337,8.333333333333334,1481,16,3,5,2,10
70355990,15207 Lucian St,78725,"Don't miss this opportunity to find a great home on one of the larger lots in this neighborhood.  One a quiet cul-de-sac this home has great curb appeal and an open floor plan that is perfect for entertaining or family gatherings.  The kitchen, dining and family provide a warm and large space.  The French doors off of the breakfast area lead to a large backyard that is perfect for taking the party outdoors.",30.238237380981445,-97.57833099365234,2,TRUE,TRUE,FALSE,FALSE,Single Family,2012,200000,2018-01-30,1,2018,33,5,2,0,0,0,0,0,8145,1652,1.9666666666666668,3,1457,13,2,3,1,6
70333917,12525 Verandah Ct,78726,"Welcome to the Estates of Grandview Hills.  This elegant custom home is located on a cul-de-sac lot with views of the Texas Hill Country.  The home features a private backyard with a resort style pool, pergola covered outdoor kitchen and custom stone fire pit.  Automatic sun shades cover the back patio for relief from the Texas sun.  Inside you'll find beautiful wide plank hardwood floors and custom wood shutters throughout.  You'll love entertaining in the fabulous remodeled kitchen which features extensive white quartz countertops, tons of cabinet space, stainless farmhouse sink, wine fridge, gas cook-top and a Bosch dishwasher.  Upstairs you will find a large media/gameroom with wetbar and built-in cabinets, copper sink, and stone countertop. Two other dedicated bedrooms upstairs and a large flex room that can be so many things from a 4th bedroom (windows are fixed), 2nd office or dedicated home school room!  Located close to shopping and restaurants. Leander ISD feeding into Vandegrift High School.",30.426456451416016,-97.85929107666016,2,TRUE,TRUE,FALSE,TRUE,Single Family,2004,875000,2020-11-09,11,2020,38,8,2,4,1,0,0,0,30056.4,3402,2.066666666666667,7,1277,16,4,4,2,16
