zpid,street_address,zipcode,description,latitude,longitude,garage_spaces,has_association,has_garage,has_spa,has_view,home_type,year_built,latest_price,latest_saledate,latest_salemonth,latest_saleyear,num_of_photos,num_of_appliances,num_of_parking_features,num_of_patio_and_porch_features,num_of_security_features,num_of_waterfront_features,num_of_window_features,num_of_community_features,lot_size_sq_ft,living_area_sq_ft,avg_school_distance,avg_school_rating,avg_school_size,_median_students_per_teacher,num_of_bathrooms,num_of_bedrooms,num_of_stories,age
29351485,5706 Eagle Clfs,78731,"5706 Eagle Clfs, Austin, TX 78731 is a single family home that contains 1,573 sq ft and was built in 1984. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $499,568. The Rent Zestimate for this home is $2,300/mo.",30.3537712097168,-97.79362487792967,0,TRUE,FALSE,FALSE,FALSE,Single Family,1984,425000,2019-07-17,7,2019,1,7,1,0,2,0,1,0,3920,1573,3.4333333333333336,7,1177,16,2,3,1,35
29355947,5505 Lakemoore Dr,78731,"Options & opportunity for this corner lot with 3/2 home in the sought-after Lakewood neighborhood with its renowned Owners' Private Park along Bull Creek! Next door is a $1.9M home Pending after 6 days on market. Secure your homesite in this quaint, booming, unique neighborhood. Current home is very livable, remodel, add on (instant equity?) or tear down to build your dream home. Excellent schools - Doss, Murchison, Anderson w/ IB options. Walking trail to Bull Creek District Park 2 homes away. Hurry",30.365068435668945,-97.7858657836914,0,TRUE,FALSE,FALSE,FALSE,Single Family,1962,535000,2019-07-01,7,2019,15,4,2,1,0,0,1,0,16117.2,1707,1.8666666666666665,7,1483,16,2,3,1,57
29351445,5626 Parade Rdg,78731,"Want low maintenance living, lake privelages and private lake access, in an ideal location perfectly situated in Austin's Hill Country? See this stylish Garden Home in the highly sought after community of The Courtyard. Functional floorplan:3bed-1study-3baths.Tasteful finish-outs: hardwoods,granite,shutters & more.Master suite w/seperate sitting area,Jack&Jill Bath,Fireplace w/Wet Bar.*PRIVATE PARK ON BULL CREEK/LAKE AUSTIN W/DAY DOCK,PLAYGROUND,PICNIC-BBQ AREAS,TRAILS,BOAT RAMP/DOCK,& CANOE RACK EXCLUSIVELY FOR COURTYARD RESIDENTS--OWNERS OFFERING RECENTLY AQUIRED NEW CANOE W/PUCHASE!*

Neighborhood Description

One of my favorite neighborhoods in all of Austin. Just off the 360 bridge, situated on the banks of Lake Austin and Bull Creek, The Courtyard has it all. Nestled into the hill country with the true neighborhood feel, it's no secret why The Courtyard is such a highly sought after neighborhood. Not only does it consist of amazing well placed properties, the community park and amenities are second to none. The private gated park, held exclusively for residents of The Courtyard, is an outdoor explorers dream. Located on the waterfront of Bull Creek and Lake Austin, you'll find a day dock, picnic and bbq areas, playground facilities, expanive green space, a network of hiking trails, a canoe rack and a boat dock....all exclusively available to The Courtyard residents!",30.35277366638184,-97.7920913696289,0,TRUE,FALSE,FALSE,FALSE,Single Family,1985,550000,2019-03-25,3,2019,40,4,1,0,0,0,0,0,3911,2474,3.333333333333333,7,1177,16,3,3,2,34
29351434,5607 Courtyard Dr,78731,"5607 Courtyard Dr, Austin, TX 78731 is a single family home that contains 2,519 sq ft and was built in 1991. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $741,196. The Rent Zestimate for this home is $3,000/mo.",30.353260040283203,-97.79042053222656,2,TRUE,TRUE,FALSE,FALSE,Single Family,1991,650000,2019-05-13,5,2019,40,4,2,0,0,0,0,0,9365,2519,3.2999999999999994,7,1177,16,3,3,2,28
29353930,6300 Sprucewood Cv,78731,"Gorgeous, well-maintained home on a 1/3 acre lot in an amazing neighborhood! This spacious home boasts hardwood floors, 2 livings areas, 2 dining areas and a beautiful atrium. 2 bedrooms, one with a library/play area, 1 full bathroom and laundry room are downstairs. Large, private Master bedroom upstairs w/ double vanity, double closets, walk-in shower and a spacious balcony. The extra large deck is perfect for entertaining under large live oaks around the home. This beautiful home is sure to go quick!",30.35880279541016,-97.7865982055664,0,FALSE,FALSE,FALSE,FALSE,Single Family,1985,399000,2018-05-03,5,2018,28,2,1,0,0,0,0,0,14374.8,2068,1.9,7,1483,16,2,3,2,33
29351423,5503 Courtyard Dr,78731,"SOLD!! After being listed with previous agent at 450K, The Austin Real Estate Team came in, painted 2 rooms, fully furnished and staged the entire home, raised the price 25K and had 4 offers in 28 days....SOLD! Clients netted 43K more than previous contract they'd accepted, which thankfully fell through!
Amazing home in well established Courtyard community!Live in well appointed Waterfront community w/easy access to Lake Austin & Bull Creek.This fantastic 3 bedroom/3.5 bath home is situated on an expansive tree-covered lot backing to the greenbelt! Loaded w/upgrades & countless extras,this home has much to offer! Features include:Granite countertops,dual fireplaces,designer paint,custom in-ground pool,double living w/office, large bedrooms,Grand Foyer w/water feature,floor to ceiling windows & much more!

Neighborhood Description

Gorgeous 2-story home located in The Courtyard. Greenbelt directly behind home borders Lake Austin and is just a 3-minute walk from backyard!  Neighborhood has private gated neighborhood park on Bull Creek that is exclusive to home owners - enjoy lake privileges, boat dock, fishing pier, barbeque grills, picnic tables, hiking trails, playscape, kayak/canoe and boat storage!",30.35234260559082,-97.79283142089844,2,TRUE,TRUE,FALSE,TRUE,Single Family,1984,465900,2020-03-24,3,2020,56,4,2,2,0,0,1,0,10628,2848,3.4,7,1177,16,4,3,2,36
29351415,5500 N Scout Island Cir,78731,"Live the lake lifestyle!!  Boat dock is deeded w/ this one story transitional home in the Courtyard neighborhood. One of only 18 homes w/ boat dock &  access to Lake Austin from this neighborhoods private waterfront park.  Custom built, this home is on the market for the first time. Very open concept w/multiple living spaces incl. a game room, living & study. Game room could be altered to be 4th bedroom w/ closet. Hill Country views, Pool, pool bath, outdoor kitchen, koi pond &  wine cellar.",30.356645584106445,-97.78723907470705,0,TRUE,FALSE,TRUE,TRUE,Single Family,1999,1249000,2018-10-11,10,2018,26,0,1,0,0,0,0,0,14810.4,3427,3.1666666666666665,7,1177,16,4,3,1,19
29351414,5410 N Scout Island Cir,78731,"A deeded boat dock on Lake Austin w/a waterfront park are just two of the highlights of this remodeled home. Soaring ceilings & wall of windows greet you along w/ a backdrop of a view of the pool & lush landscape.  Open kitchen w/ subzero refrig & custom built-ins. Onyx master spa bath w/ fireplace & steam shower & custom crafted closet are featured in the owners retreat. 3 liv spaces plus dedicated theatre room.  Finishes inc. Allergy free carpet, Italian tile, Mahogany & Cherry floors, outdoor kitchen w/ limestone decking, 16,000 gallon salt water pool, mosquito system.  Recently updated mechanical include:  HVAC systems, 2 Rinnai Tankless hot water heaters, Emerson Wi-fi thermostats.",30.356599807739247,-97.78700256347656,2,TRUE,TRUE,TRUE,TRUE,Single Family,1999,1500000,2019-06-26,6,2019,57,4,2,0,0,0,1,0,14374.8,3994,3.1333333333333333,7,1177,16,4,4,2,20
29353898,5604 Blueridge Ct,78731,"Incredible opportunity to own a stunning home in Lakewood Village, mins from Bull Creek, 360 & Lake Austin. Certified as a wildlife habitat w/ drought resistant landscaping. Open floor plan with wood flooring. The kitchen has granite & SS. The large master bedroom has access to the back patio & an ensuite bath & a walk-in closet. Bonus room w/ seating area/gym on the first floor. Game room/bedroom and guest bedroom on the 2nd floor. Park-like backyard with oversized back deck. Shingles Installed 6/5/2020.",30.362150192260746,-97.78648376464844,2,FALSE,TRUE,TRUE,TRUE,Single Family,1981,855000,2020-07-13,7,2020,36,8,2,1,0,0,0,0,22651.2,3193,1.866666666666667,7,1483,16,3,4,2,39
29353897,5602 Blueridge Ct,78731,"5602 Blueridge Ct, Austin, TX 78731 is a single family home that contains 2,160 sq ft and was built in 1963. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $751,718. The Rent Zestimate for this home is $3,000/mo.",30.362192153930664,-97.78605651855467,3,TRUE,TRUE,FALSE,TRUE,Single Family,1963,649000,2019-04-08,4,2019,38,1,2,0,0,0,0,0,18730.8,2160,1.866666666666667,7,1483,16,2,3,1,56
