DATEHOUR,LOAD,LOCATION
2016-01-01 1:00,9001.477932,Coast (Houston)
2016-01-01 1:00,1148.358788,East (Tyler)
2016-01-01 1:00,2107.895986,Far West (Midland)
2016-01-01 1:00,788.5439187,North (Wichita Falls)
2016-01-01 1:00,11409.33904,North Central (DFW)
2016-01-01 1:00,2829.993195,South (Corpus Christi)
2016-01-01 1:00,5479.057816,South Central (Austin)
2016-01-01 1:00,1088.091916,West (Abilene)
2016-01-01 2:00,1080.369336,West (Abilene)
2016-01-01 2:00,8864.555456,Coast (Houston)
2016-01-01 2:00,1134.909662,East (Tyler)
2016-01-01 2:00,2100.70247,Far West (Midland)
2016-01-01 2:00,782.3551075,North (Wichita Falls)
2016-01-01 2:00,11235.17494,North Central (DFW)
2016-01-01 2:00,2830.075196,South (Corpus Christi)
2016-01-01 2:00,5405.955778,South Central (Austin)
2016-01-01 3:00,8745.758728,Coast (Houston)
2016-01-01 3:00,1126.864026,East (Tyler)
2016-01-01 3:00,2099.966167,Far West (Midland)
2016-01-01 3:00,781.2370036,North (Wichita Falls)
2016-01-01 3:00,11151.96522,North Central (DFW)
2016-01-01 3:00,2789.470654,South (Corpus Christi)
2016-01-01 3:00,5334.159606,South Central (Austin)
2016-01-01 3:00,1069.644619,West (Abilene)
2016-01-01 4:00,8689.879755,Coast (Houston)
2016-01-01 4:00,1129.417663,East (Tyler)
2016-01-01 4:00,2104.947864,Far West (Midland)
2016-01-01 4:00,785.2643636,North (Wichita Falls)
2016-01-01 4:00,11209.70107,North Central (DFW)
2016-01-01 4:00,2757.999808,South (Corpus Christi)
2016-01-01 4:00,5302.938201,South Central (Austin)
2016-01-01 4:00,1073.658885,West (Abilene)
2016-01-01 5:00,1096.410845,West (Abilene)
2016-01-01 5:00,8733.703094,Coast (Houston)
2016-01-01 5:00,1141.769602,East (Tyler)
2016-01-01 5:00,2117.072608,Far West (Midland)
2016-01-01 5:00,790.248115,North (Wichita Falls)
2016-01-01 5:00,11428.71696,North Central (DFW)
2016-01-01 5:00,2769.678996,South (Corpus Christi)
2016-01-01 5:00,5364.298843,South Central (Austin)
2016-01-01 6:00,8920.229391,Coast (Houston)
2016-01-01 6:00,1182.991022,East (Tyler)
2016-01-01 6:00,2128.871251,Far West (Midland)
2016-01-01 6:00,805.198729,North (Wichita Falls)
2016-01-01 6:00,11833.21284,North Central (DFW)
2016-01-01 6:00,2820.740363,South (Corpus Christi)
2016-01-01 6:00,5577.24296,South Central (Austin)
2016-01-01 6:00,1131.919292,West (Abilene)
2016-01-01 7:00,9104.400775,Coast (Houston)
2016-01-01 7:00,1221.502146,East (Tyler)
2016-01-01 7:00,2130.146522,Far West (Midland)
2016-01-01 7:00,827.8275388,North (Wichita Falls)
2016-01-01 7:00,12257.01538,North Central (DFW)
2016-01-01 7:00,2886.142025,South (Corpus Christi)
2016-01-01 7:00,5795.663671,South Central (Austin)
2016-01-01 7:00,1173.048883,West (Abilene)
2016-01-01 8:00,1207.806298,West (Abilene)
2016-01-01 8:00,9178.304708,Coast (Houston)
2016-01-01 8:00,1250.869603,East (Tyler)
2016-01-01 8:00,2151.098178,Far West (Midland)
2016-01-01 8:00,853.2700727,North (Wichita Falls)
2016-01-01 8:00,12599.72649,North Central (DFW)
2016-01-01 8:00,2915.773029,South (Corpus Christi)
2016-01-01 8:00,5937.46327,South Central (Austin)
2016-01-01 9:00,9335.493911,Coast (Houston)
2016-01-01 9:00,1285.636461,East (Tyler)
2016-01-01 9:00,2147.734187,Far West (Midland)
2016-01-01 9:00,871.2367632,North (Wichita Falls)
2016-01-01 9:00,12923.80484,North Central (DFW)
2016-01-01 9:00,2986.186811,South (Corpus Christi)
2016-01-01 9:00,6077.226662,South Central (Austin)
2016-01-01 9:00,1230.409823,West (Abilene)
2016-01-01 10:00,9680.865161,Coast (Houston)
2016-01-01 10:00,1323.281279,East (Tyler)
2016-01-01 10:00,2173.372268,Far West (Midland)
2016-01-01 10:00,880.6697602,North (Wichita Falls)
2016-01-01 10:00,13269.18163,North Central (DFW)
2016-01-01 10:00,3123.548757,South (Corpus Christi)
2016-01-01 10:00,6353.441947,South Central (Austin)
2016-01-01 10:00,1252.474908,West (Abilene)
2016-01-01 11:00,1259.083382,West (Abilene)
2016-01-01 11:00,10002.14116,Coast (Houston)
2016-01-01 11:00,1343.045202,East (Tyler)
2016-01-01 11:00,2188.107358,Far West (Midland)
2016-01-01 11:00,870.7911338,North (Wichita Falls)
2016-01-01 11:00,13272.90635,North Central (DFW)
2016-01-01 11:00,3247.57977,South (Corpus Christi)
2016-01-01 11:00,6577.393695,South Central (Austin)
2016-01-01 12:00,10122.30928,Coast (Houston)
2016-01-01 12:00,1335.93813,East (Tyler)
2016-01-01 12:00,2204.532096,Far West (Midland)
2016-01-01 12:00,849.0681661,North (Wichita Falls)
2016-01-01 12:00,13189.61752,North Central (DFW)
2016-01-01 12:00,3352.406983,South (Corpus Christi)
