id,loan_status,year,fully_paid,credit_score,credit_history_age,had_delinq,delinq_recent,has_pub_rec,recovery_channel,payoff_gross,payoff_net,payoff_frac,addr_state,annual_inc,dti,emp_length,emp_title,fico_approx,grade,home_ownership,inq_last_6mths,installment,int_rate,issue_d,loan_amnt,open_acc,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,funded_amnt,funded_amnt_inv
1077175,Fully Paid,2011,1,65,10.080766598220396,0,0,0,NA,3005.6668441393,3005.6668441393,1.2523611850580416,IL,12252,8.72,10+ years,NA,737,C,RENT,2,84.33,15.96,Dec-2011,2400,2,small_business,2956,98.5,C5,36 months,real estate business,10,Not Verified,606xx,3005.6668441393,2400,605.67,0,0,0,Jun-2014,2400,2400
1069639,Fully Paid,2011,1,65,6.417522245037645,0,0,0,NA,10137.840007529006,10137.840007529006,1.4482628582184296,NC,47004,23.51,8 years,Southern Star Photography,692,C,RENT,1,170.08,15.96,Dec-2011,7000,7,debt_consolidation,17726,85.6,C5,60 months,Loan,11,Not Verified,280xx,10137.840007529006,7000,3137.84,0,0,0,May-2016,7000,7000
1071795,Charged Off,2011,0,53,7.665982203969883,0,0,0,collection,647.5,645.41,0.11525178571428571,CA,40000,5.55,4 years,NA,677,F,OWN,2,152.39,21.28,Dec-2011,5600,11,small_business,5210,32.6,F2,60 months,Expand Business & Buy Debt Portfolio,13,Source Verified,958xx,647.5,162.02,294.94,0,190.54,2.09,Apr-2012,5600,5600
1070078,Fully Paid,2011,1,67,13.91375770020534,0,0,0,NA,7678.0176729717,7678.0176729717,1.1812334881494924,AZ,72000,16.12,5 years,Southwest Rural metro,697,C,OWN,2,153.45,14.65,Dec-2011,6500,14,debt_consolidation,4032,20.6,C3,60 months,High intrest Consolidation,23,Not Verified,853xx,7678.0176729717,6500,1178.02,0,0,0,Jun-2013,6500,6500
1069908,Fully Paid,2011,1,70,22.16563997262149,0,0,0,NA,13947.9891551589,13947.9891551589,1.1623324295965751,CA,75000,10.78,10+ years,UCLA,677,B,OWN,0,402.54,12.69,Dec-2011,12000,12,debt_consolidation,23336,67.1,B5,36 months,Consolidation,34,Source Verified,913xx,13947.9891551589,12000,1947.99,0,0,0,Sep-2013,12000,12000
1064687,Charged Off,2011,0,69,7.665982203969883,0,0,0,collection,2277.32,2273.1600000000003,0.25257333333333337,VA,30000,10.08,< 1 year,Va. Dept of Conservation/Recreation,712,C,RENT,1,305.38,13.49,Dec-2011,9000,4,debt_consolidation,10452,91.7,C1,36 months,freedom,9,Source Verified,245xx,2277.32,1256.14,570.26,0,450.92,4.16,Jul-2012,9000,9000
1069759,Fully Paid,2011,1,64,4.249144421629021,0,0,0,NA,1270.71694152,1270.71694152,1.2707169415200001,MO,28000,20.31,< 1 year,Internal revenue Service,667,D,RENT,1,35.31,16.29,Dec-2011,1000,11,debt_consolidation,6524,81.5,D1,36 months,Debt Consolidation Loan,23,Not Verified,641xx,1270.71694152,1000,270.72,0,0,0,Jan-2015,1000,1000
1065775,Fully Paid,2011,1,66,13.166324435318275,1,0,0,NA,12527.1500000008,12527.1500000008,1.25271500000008,CA,42000,18.6,4 years,Chin's Restaurant,672,C,RENT,2,347.98,15.27,Dec-2011,10000,14,home_improvement,24043,70.2,C4,36 months,Home,28,Not Verified,921xx,12527.1500000008,10000,2527.15,0,0,0,Jan-2015,10000,10000
1069742,Fully Paid,2011,1,79,10.913073237508556,0,0,0,NA,9460.0008480671,9460.0008480671,1.028260961746424,CA,77385.19,9.86,6 years,Network Interpreting Service,757,A,RENT,0,280.01,6.03,Dec-2011,9200,8,debt_consolidation,7314,23.1,A1,36 months,lowerratemeanseasiertogetoutofdebt!,28,Not Verified,921xx,9460.0008480671,9200,260,0,0,0,Jul-2012,9200,9200
1069740,Fully Paid,2011,1,66,14.080766598220396,0,0,0,NA,27679.04999702957,27679.04999702957,1.366866666519979,TX,43370,26.53,3 years,Archdiocese of Galveston Houston,727,C,RENT,3,484.63,15.27,Dec-2011,20250,8,debt_consolidation,17813,85.6,C4,60 months,Freedom From Credit Cards,22,Verified,770xx,27679.04999702957,20250,7429.05,0,0,0,Aug-2015,20250,19142.16107714741
1039153,Charged Off,2011,0,71,28.829568788501028,0,0,0,no_recovery,14034.6,14034.6,0.6683142857142857,FL,105000,13.22,10+ years,Osram Sylvania,707,B,RENT,0,701.73,12.42,Dec-2011,21000,7,debt_consolidation,32135,90.3,B4,36 months,Debt Cleanup,38,Verified,335xx,14034.6,10694.96,3330.44,0,9.2,0,Sep-2013,21000,21000
1069700,Fully Paid,2011,1,72,8.668035592060233,0,0,0,NA,11540.8919774065,11540.8919774065,1.15408919774065,CA,50000,16.01,5 years,Wells Fargo Bank,712,B,RENT,0,330.76,11.71,Dec-2011,10000,6,debt_consolidation,17800,91.8,B3,36 months,Debt Consolidation,17,Not Verified,917xx,11540.8919774065,10000,1540.89,0,0,0,Oct-2013,10000,10000
1069800,Charged Off,2011,0,68,8.167008898015059,0,0,0,no_recovery,0,0,0,NY,60000,15.22,9 years,nyc transit,697,C,RENT,1,514.64,14.27,Dec-2011,15000,7,debt_consolidation,5872,57.6,C2,36 months,consolidation,11,Not Verified,103xx,0,0,0,0,0,0,NA,15000,8725
1069799,Fully Paid,2011,1,72,27.33196440793977,1,1,0,NA,4486.293519007,4486.293519007,1.12157337975175,FL,106000,5.63,10+ years,Shands Hospital at the University of Fl,682,B,MORTGAGE,0,132.31,11.71,Dec-2011,4000,12,debt_consolidation,6110,37.7,B3,36 months,Debt Consolidation,44,Not Verified,326xx,4486.293519007,4000,486.29,0,0,0,Apr-2013,4000,4000
1032111,Fully Paid,2011,1,77,24,0,0,0,NA,4899.9599995808,4899.9599995808,1.11999085704704,NY,17108,20.34,7 years,NA,737,A,MORTGAGE,0,136.11,7.51,Dec-2011,4375,6,debt_consolidation,11210,86.9,A3,36 months,Debt Consolidation,12,Source Verified,141xx,4899.9599995808,4375,524.96,0,0,0,Jan-2015,4375,4375
