case_id,econ_conditions_country,employment_status,household_income,age_category,education,gender,region,housing_status
202304484,Only fair,Working part-time,"$50,000 to $74,999",75+,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
202204577,Only fair,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Female,Northeast,Own your home free and clear (without a mortgage or loan)
202301342,Poor,Working full-time,"$75,000 to $99,999",55-64,No high school diploma or GED,Female,West,Pay rent
202500830,Good,Not working,"$100,000 to $149,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202504363,Good,Not working,"$50,000 to $74,999",75+,Some college or Associate's degree,Female,West,Own your home with a mortgage or loan
202505614,Good,Not working,"$10,000 to $24,999",75+,Bachelor's degree or higher,Female,South,Pay rent
202401404,Only fair,Working part-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202502971,Only fair,Not working,"$50,000 to $74,999",65-74,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202501639,Only fair,Not working,"$50,000 to $74,999",75+,Some college or Associate's degree,Female,Northeast,Pay rent
202504962,Only fair,Not working,"$25,000 to $49,999",75+,Some college or Associate's degree,Male,South,Own your home free and clear (without a mortgage or loan)
202500561,Only fair,Not working,"$75,000 to $99,999",65-74,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
201801659,Good,Not working,"$75,000 to $99,999",55-64,High school graduate (high school diploma or the equivalent GED),Male,Northeast,Own your home with a mortgage or loan
202404150,Only fair,Not working,"$50,000 to $74,999",75+,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202401382,Only fair,Working full-time,"$75,000 to $99,999",45-54,Bachelor's degree or higher,Male,Northeast,Own your home with a mortgage or loan
201806057,Good,Not working,"$50,000 to $74,999",65-74,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202502269,Good,Not working,"$75,000 to $99,999",65-74,Some college or Associate's degree,Female,South,Own your home free and clear (without a mortgage or loan)
202506809,Only fair,Working part-time,"$50,000 to $74,999",65-74,Bachelor's degree or higher,Female,Midwest,Own your home free and clear (without a mortgage or loan)
202400694,Only fair,Not working,"$50,000 to $74,999",75+,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Own your home free and clear (without a mortgage or loan)
202504281,Only fair,Not working,"Less than $10,000",75+,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202504064,Only fair,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
202504554,Only fair,Working full-time,"$75,000 to $99,999",55-64,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
201904871,Only fair,Working full-time,"$150,000 or more",75+,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
201803238,Only fair,Working full-time,"$150,000 or more",55-64,High school graduate (high school diploma or the equivalent GED),Male,West,Own your home with a mortgage or loan
202506187,Poor,Not working,"$100,000 to $149,999",65-74,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
201402475,Only fair,Working full-time,"$100,000 to $149,999",55-64,High school graduate (high school diploma or the equivalent GED),Male,Northeast,Own your home free and clear (without a mortgage or loan)
202500356,Good,Not working,"$50,000 to $74,999",75+,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Own your home with a mortgage or loan
201802003,Good,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Male,South,Own your home free and clear (without a mortgage or loan)
202006473,Good,Working full-time,"$150,000 or more",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202502078,Only fair,Working full-time,"$50,000 to $74,999",45-54,Some college or Associate's degree,Male,South,Own your home with a mortgage or loan
202504985,Good,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,South,Own your home free and clear (without a mortgage or loan)
202503817,Good,Working part-time,"$100,000 to $149,999",55-64,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
202003982,Poor,Not working,"$10,000 to $24,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,Midwest,Pay rent
202505671,Good,Working part-time,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Male,Midwest,Own your home with a mortgage or loan
201802285,Only fair,Working full-time,"$10,000 to $24,999",35-44,Some college or Associate's degree,Male,Northeast,Pay rent
202500943,Good,Working full-time,"$100,000 to $149,999",55-64,Bachelor's degree or higher,Female,Midwest,Own your home with a mortgage or loan
202203068,Good,Not working,"$75,000 to $99,999",65-74,Some college or Associate's degree,Male,West,Own your home free and clear (without a mortgage or loan)
202103328,Good,Not working,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Female,Northeast,Pay rent
201705578,Only fair,Not working,"$50,000 to $74,999",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
201800141,Good,Not working,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
202502209,Only fair,Not working,"$50,000 to $74,999",75+,Some college or Associate's degree,Female,West,Own your home with a mortgage or loan
202500871,Only fair,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
202103861,Good,Working part-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202504181,Good,Working full-time,"$100,000 to $149,999",45-54,Some college or Associate's degree,Female,South,Own your home with a mortgage or loan
202505112,Only fair,Not working,"$50,000 to $74,999",75+,Bachelor's degree or higher,Female,West,Own your home free and clear (without a mortgage or loan)
202502974,Good,Not working,"$25,000 to $49,999",75+,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home with a mortgage or loan
202100230,Poor,Working part-time,"$150,000 or more",55-64,Bachelor's degree or higher,Female,Northeast,Own your home with a mortgage or loan
201502647,Good,Working full-time,"$100,000 to $149,999",45-54,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
201802157,Only fair,Working full-time,"$50,000 to $74,999",45-54,High school graduate (high school diploma or the equivalent GED),Male,South,Pay rent
202504986,Only fair,Not working,"$10,000 to $24,999",75+,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Own your home free and clear (without a mortgage or loan)
202501494,Good,Not working,"$150,000 or more",65-74,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
202504851,Poor,Working full-time,"$50,000 to $74,999",55-64,Some college or Associate's degree,Female,Northeast,Own your home free and clear (without a mortgage or loan)
202500383,Only fair,Not working,"$100,000 to $149,999",65-74,Some college or Associate's degree,Female,West,Own your home free and clear (without a mortgage or loan)
202004396,Good,Working full-time,"$150,000 or more",25-34,Bachelor's degree or higher,Male,West,Own your home with a mortgage or loan
202503345,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202300632,Only fair,Not working,"$100,000 to $149,999",75+,Some college or Associate's degree,Female,West,Own your home free and clear (without a mortgage or loan)
201703601,Only fair,Working full-time,"$150,000 or more",55-64,Some college or Associate's degree,Male,West,Own your home with a mortgage or loan
202506723,Poor,Not working,"$50,000 to $74,999",65-74,High school graduate (high school diploma or the equivalent GED),Female,Northeast,Own your home with a mortgage or loan
202403791,Poor,Not working,"$100,000 to $149,999",75+,Some college or Associate's degree,Female,West,Own your home free and clear (without a mortgage or loan)
202403482,Only fair,Not working,"$25,000 to $49,999",75+,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home free and clear (without a mortgage or loan)
202503778,Poor,Working full-time,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Female,Northeast,Pay rent
202403839,Good,Working full-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
202501130,Good,Not working,"$10,000 to $24,999",75+,No high school diploma or GED,Female,West,Neither own nor pay rent
202502572,Good,Working full-time,"$150,000 or more",65-74,Bachelor's degree or higher,Male,South,Own your home with a mortgage or loan
202505199,Only fair,Working part-time,"$150,000 or more",55-64,High school graduate (high school diploma or the equivalent GED),Female,South,Own your home with a mortgage or loan
202404000,Good,Not working,"$50,000 to $74,999",65-74,Some college or Associate's degree,Male,Northeast,Own your home with a mortgage or loan
202500182,Good,Not working,"$150,000 or more",75+,Bachelor's degree or higher,Male,West,Neither own nor pay rent
202504556,Good,Working part-time,"$150,000 or more",55-64,Bachelor's degree or higher,Male,Northeast,Own your home free and clear (without a mortgage or loan)
202400304,Only fair,Working part-time,"$150,000 or more",55-64,Some college or Associate's degree,Female,South,Own your home free and clear (without a mortgage or loan)
201902472,Only fair,Not working,"$25,000 to $49,999",35-44,High school graduate (high school diploma or the equivalent GED),Male,South,Own your home free and clear (without a mortgage or loan)
202003210,Only fair,Working full-time,"$150,000 or more",45-54,Bachelor's degree or higher,Female,South,Own your home with a mortgage or loan
202400337,Good,Working part-time,"$100,000 to $149,999",65-74,Bachelor's degree or higher,Female,South,Own your home free and clear (without a mortgage or loan)
202304997,Only fair,Working full-time,"$75,000 to $99,999",45-54,Some college or Associate's degree,Male,South,Own your home with a mortgage or loan
